start_time,end_time,lyrics_line
54.6666278308,58.31,the sun is fading under bloodred sky
58.3234692815,62.57,the reign of day is over
62.9011223601,66.41,night soon will break free
66.7303300315,69.97,they wake in the eerie glow of moonlight
70.2792924405,74.49,forgotten souls beyond our sight
75.0230875465,76.99,world that's gone forever
77.0146979375,78.99,long ago lost in their
79.0316326438,82.92,eyes that shine with mystery
82.9357364171,84.99,last remaining shadows
85.0498738332,86.24,of lost time
86.4600866649,90.0,whisper in the moonlight
92.6434249511,95.97,surprised you're waking in the morning
96.2638319931,100.49,can't understand your feelings
100.7780038194,104.5,and where d'you get these thoughts
104.7004551161,108.4847157198,inside your mind the voice is calling
108.4847157198,112.13,for the night to rise at your side
112.9935043431,114.99,world that's gone forever
115.0023059228,116.99,long ago lost in their
117.0193644845,120.89,eyes that shine with mystery
121.0207037487,123.03,last remaining shadows
123.0398409549,124.45,of lost time
124.479987664,127.74,whisper in the moonlight
128.3663924742,130.82,so hear their voice
130.9657243934,132.97,sharing their yearning
132.9921243194,136.92,gift they're giving to you
136.9475537596,138.84,hear their voice
138.8870794017,140.9809530004,sharing their memories
140.9809530004,145.99,sacred secrets from past time
177.5028347477,179.22,world that's gone forever
179.2997234335,180.89,long ago lost in their
180.9385251679,184.7809413704,eyes that shine with mystery
184.7809413704,187.04,last remaining shadows
187.0468904745,188.41,of lost time
188.4107680957,192.32,whisper in the moonlight
192.5392696996,194.81,so hear their voice
194.84623336,196.94,sharing their yearning
196.9947686169,200.49,gift they're giving to you
201.0688063067,202.82,hear their voice
202.8574807736,204.7230522283,sharing their memories
204.7230522283,208.5344349261,sacred secrets from past
208.5344349261,210.8237072431,so hear their voice
210.8237072431,212.98,sharing their yearning
213.047110919,216.62,gift they're giving to you
216.9439688014,218.8764698464,hear their voice
218.8764698464,220.7846862252,sharing their memories
220.7846862252,225.74,sacred secrets from past time
